,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
2.6012330055236816,-0.06,-0.33
2.8098814487457275,-0.12,-0.54
3.019214630126953,-0.19,-0.6
3.2277650833129883,-0.25,-0.67
3.437002658843994,-0.28,-0.76
3.645294189453125,-0.28,-0.78
3.854990243911743,-0.25,-0.83
4.06566047668457,-0.26,-0.84
4.272893667221069,-0.23,-0.88
4.482727527618408,-0.2,-0.88
4.686457395553589,-0.24,-0.86
4.8952107429504395,-0.29,-0.87
5.1041882038116455,-0.29,-0.84
5.315398693084717,-0.34,-0.88
5.522096633911133,-0.3,-0.95
5.732438802719116,-0.26,-0.96
5.939258575439453,-0.21,-0.96
6.150173902511597,-0.19,-0.95
6.353410243988037,-0.19,-0.93
6.561408281326294,-0.1,-0.98
6.770789384841919,-0.1,-0.97
6.98453950881958,-0.16,-0.95
7.189220190048218,-0.26,-0.94
7.399038553237915,-0.28,-0.92
7.605095386505127,-0.31,-0.87
7.815551519393921,-0.31,-0.91
8.024508714675903,-0.24,-0.95
8.232862949371338,-0.32,-0.92
8.437426805496216,-0.33,-0.93
8.64795470237732,-0.31,-0.95
8.855942010879517,-0.31,-0.87
9.066033840179443,-0.27,-0.9
9.273247003555298,-0.25,-0.92
9.482419490814209,-0.27,-0.91
9.690612077713013,-0.28,-0.92
9.900036096572876,-0.21,-0.91
10.108215570449829,-0.24,-0.93
10.318103551864624,-0.27,-0.9
10.522869110107422,-0.23,-0.92
10.731872081756592,-0.29,-0.91
10.939943075180054,-0.3,-0.88
11.149920463562012,-0.38,-0.89
11.358037233352661,-0.34,-0.86
11.567321538925171,-0.34,-0.9
11.776538372039795,-0.36,-0.89
11.985217809677124,-0.37,-0.92
12.189863681793213,-0.33,-0.94
12.402409076690674,-0.32,-0.93
