,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,2.0,0.0
1.0135047435760498,206.0,-0.67
1.2176074981689453,411.0,-1.11
1.4269840717315674,617.0,-1.36
1.630577564239502,821.0,-34.59
1.839242935180664,1027.0,-57.5
2.0413146018981934,1232.0,-7.91
2.246803045272827,1436.0,26.99
2.455066204071045,1642.0,43.34
2.6553847789764404,1846.0,30.64
2.86437726020813,2053.0,-3.56
3.069004774093628,2257.0,-39.45
3.273206949234009,2461.0,-18.5
3.4796817302703857,2666.0,-11.41
3.683181047439575,2870.0,-7.18
3.8885996341705322,3074.0,14.74
4.094378232955933,3278.0,22.2
4.2972612380981445,3482.0,24.93
4.50234580039978,3688.0,10.43
4.707515001296997,3894.0,3.04
4.912891626358032,4098.0,4.17
5.117307186126709,4304.0,1.54
5.322194814682007,4508.0,-0.47
5.531780004501343,4714.0,-1.22
5.735079765319824,4919.0,13.04
5.942117929458618,5123.0,32.23
6.147156476974487,5327.0,-20.43
6.347134351730347,5531.0,-30.02
6.550519227981567,5736.0,-41.53
6.755323171615601,5940.0,-51.64
6.959690093994141,6143.0,-57.98
7.165009021759033,6348.0,-48.39
7.373235464096069,6554.0,-6.2
7.57923150062561,6759.0,16.71
7.782687187194824,6965.0,31.31
7.98875617980957,7168.0,30.47
8.194327354431152,7374.0,-2.08
8.397399425506592,7580.0,-44.94
8.602432489395142,7784.0,-56.49
8.806605815887451,7988.0,-59.44
9.012501955032349,8192.0,-79.15
9.216637134552002,8396.0,-85.67
9.423566579818726,8601.0,-92.39
9.626204013824463,8805.0,27.24
9.831219911575317,9009.0,5.38
10.037939310073853,9215.0,6.58
10.240463018417358,9419.0,3.55
10.448901414871216,9625.0,0.71
10.655893564224243,9830.0,5.45
10.858356475830078,10035.0,9.1
11.06320571899414,10242.0,6.99
11.26945161819458,10445.0,3.33
11.473621845245361,10649.0,1.43
11.678591966629028,10854.0,-6.83
11.883294105529785,11058.0,-7.45
12.088396549224854,11262.0,-12.04
12.292861223220825,11466.0,-17.35
12.497620820999146,11670.0,-16.72
12.702413320541382,11877.0,-18.94
12.906870126724243,12081.0,-35.11
13.112616539001465,12286.0,-34.35
13.317718505859375,12491.0,-24.08
13.521496057510376,12696.0,-19.93
13.729718446731567,12902.0,-34.44
13.933919191360474,13107.0,-1.55
14.139692783355713,13310.0,-9.25
14.34326696395874,13514.0,-25.86
14.544867992401123,13719.0,-45.43
14.750134229660034,13923.0,-85.95
14.955870628356934,14127.0,28.69
15.160136699676514,14331.0,107.14
15.364621877670288,14535.0,160.19
15.576297521591187,14741.0,208.67
15.774208307266235,14945.0,157.66
