,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
2.467515230178833,0.0,-1.31
2.6569175720214844,-0.07,-2.17
2.872896432876587,-0.11,-2.69
3.074162721633911,-0.02,-3.05
3.281991720199585,-0.08,-3.34
3.4899704456329346,-0.12,-3.51
3.696855068206787,-0.17,-3.63
3.9069862365722656,-0.11,-3.76
4.123169422149658,-0.1,-3.84
4.3234851360321045,-0.08,-3.88
4.527795791625977,-0.25,-3.87
4.740926265716553,-0.42,-3.69
4.946016311645508,-0.42,-3.86
5.158148765563965,-0.33,-3.77
5.364037275314331,-0.24,-3.8
5.59109354019165,-0.35,-3.81
5.783672571182251,-0.46,-3.76
6.014056444168091,-0.42,-3.83
6.197070837020874,-0.33,-3.85
6.403902292251587,-0.29,-3.83
6.6143958568573,-0.22,-3.9
6.827239036560059,-0.2,-3.88
7.030144214630127,-0.2,-3.89
7.2371509075164795,-0.14,-3.87
7.4455790519714355,-0.17,-3.85
7.653502702713013,-0.16,-3.86
7.858264446258545,-0.16,-3.88
8.068753719329834,-0.15,-3.83
8.29822564125061,-0.15,-3.8
8.485467672348022,-0.08,-3.82
8.698265075683594,-0.02,-3.78
8.905230283737183,-0.01,-3.82
9.112762689590454,-0.05,-3.77
9.316941738128662,-0.03,-3.85
9.527927875518799,-0.08,-3.84
9.744234323501587,-0.1,-3.79
9.940070629119873,-0.13,-3.83
10.155912399291992,-0.05,-3.87
10.366350412368774,-0.05,-3.9
10.56584095954895,-0.08,-3.92
10.774281024932861,-0.07,-3.89
10.983494758605957,-0.03,-3.91
11.196951866149902,-0.05,-3.92
11.402405261993408,-0.13,-3.93
11.61383843421936,-0.11,-3.89
11.817293405532837,-0.13,-3.92
12.029730081558228,-0.12,-3.95
12.231737852096558,-0.14,-3.87
