,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
2.1045169830322266,-0.21,-0.12
2.3129055500030518,-0.36,-0.25
2.5176844596862793,-0.48,-0.3
2.722513437271118,-0.52,-0.34
2.927003860473633,-0.54,-0.37
3.132460594177246,-0.56,-0.39
3.33687686920166,-0.53,-0.38
3.542127847671509,-0.61,-0.42
3.7461605072021484,-0.57,-0.39
3.9554803371429443,-0.59,-0.36
4.15711522102356,-0.65,-0.41
4.371712923049927,-0.6,-0.41
4.569777727127075,-0.57,-0.42
4.775846004486084,-0.59,-0.32
4.979119539260864,-0.56,-0.29
5.185819387435913,-0.62,-0.32
5.393037796020508,-0.64,-0.42
5.605222940444946,-0.74,-0.53
5.8022027015686035,-0.77,-0.41
6.007261514663696,-0.74,-0.45
6.2122437953948975,-0.62,-0.46
6.416880130767822,-0.64,-0.35
6.62135910987854,-0.64,-0.4
6.828636884689331,-1.17,-5.36
7.038048505783081,-1.17,-3.19
7.2357964515686035,-0.94,-1.29
7.440455675125122,-0.67,-0.49
7.6503660678863525,-0.57,-0.57
7.853201389312744,-0.52,-1.62
8.058284759521484,-0.42,-3.24
8.263098955154419,-0.09,-4.35
8.468288660049438,-0.3,-6.22
8.673460245132446,-0.51,-8.49
8.880042314529419,-0.4,-10.73
9.078542947769165,-0.61,-12.55
9.284358263015747,-0.72,-14.28
9.488404512405396,-0.71,-16.03
9.693468809127808,-0.45,-17.62
9.902133464813232,-0.59,-18.96
10.106896877288818,-0.64,-20.4
10.312395095825195,-0.84,-21.18
10.51650094985962,-0.95,-22.22
10.721064805984497,-1.4,-23.27
10.92667555809021,-1.58,-24.55
11.134697675704956,-1.73,-25.5
11.336032152175903,-1.7,-26.37
11.540889739990234,-1.52,-26.98
11.745112657546997,-1.47,-27.34
