,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,1.0,0.0
2.5155229568481445,205.0,-0.48
2.721367359161377,412.0,-0.83
2.9259846210479736,616.0,-1.04
3.1344001293182373,821.0,-1.21
3.3364648818969727,1026.0,-1.33
3.541382074356079,1231.0,-1.35
3.7514641284942627,1436.0,-1.4
3.9504547119140625,1641.0,-1.43
4.158466815948486,1846.0,-1.42
4.365828990936279,2051.0,-1.43
4.568672180175781,2256.0,-1.44
4.773809194564819,2462.0,-1.46
4.981558084487915,2666.0,-1.47
5.1837992668151855,2872.0,-1.45
5.388161659240723,3076.0,-1.5
5.5931408405303955,3282.0,-1.49
5.803478240966797,3487.0,-1.48
6.007814168930054,3692.0,-1.46
6.210368633270264,3895.0,-1.47
6.415937185287476,4100.0,-1.45
6.620744705200195,4305.0,-1.45
6.825025320053101,4511.0,-1.43
7.032688856124878,4715.0,-1.4
7.236262083053589,4920.0,-1.44
7.44033145904541,5125.0,-1.43
7.652723789215088,5330.0,-1.44
7.8546462059021,5536.0,-1.48
8.057795524597168,5740.0,-1.49
8.26313829421997,5945.0,-1.51
8.46847677230835,6150.0,-1.5
8.672582626342773,6354.0,-1.52
8.880974531173706,6560.0,-1.53
9.082239627838135,6764.0,-1.55
9.28836727142334,6971.0,-1.46
9.492391109466553,7174.0,-1.48
9.697516202926636,7379.0,-1.49
9.905524015426636,7585.0,-1.51
10.111726999282837,7789.0,-1.52
10.315381288528442,7996.0,-1.49
10.520256757736206,8199.0,-1.49
10.725076913833618,8404.0,-1.47
10.932494401931763,8610.0,-1.52
11.134340524673462,8814.0,-1.56
11.339826107025146,9017.0,-1.55
11.548185348510742,9223.0,-1.53
11.748996019363403,9427.0,-1.5
11.957413911819458,9634.0,-1.53
12.158872604370117,9838.0,-1.53
