,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
2.639768600463867,-0.06,-1.28
2.853956699371338,-0.15,-2.1
3.058621644973755,-0.24,-2.68
3.2660248279571533,-0.22,-3.1
3.47619366645813,-0.2,-3.36
3.6827447414398193,-0.23,-3.52
3.8906302452087402,-0.2,-3.66
4.119593143463135,-0.21,-3.75
4.303950071334839,-0.21,-3.79
4.520054340362549,-0.21,-3.84
4.735735654830933,-0.17,-3.89
4.929803371429443,-0.22,-3.9
5.149540185928345,-0.25,-3.88
5.349076747894287,-0.27,-3.93
5.554738759994507,-0.28,-3.89
5.767467975616455,-0.33,-3.82
5.986526966094971,-0.29,-3.88
6.186319828033447,-0.27,-3.89
6.388568639755249,-0.25,-3.84
6.5915772914886475,-0.28,-3.89
6.802613019943237,-0.27,-3.89
7.01444149017334,-0.26,-3.92
7.215898036956787,-0.23,-3.95
7.431328296661377,-0.24,-3.95
7.632786750793457,-0.23,-3.96
7.844685077667236,-0.27,-3.91
8.057838916778564,-0.29,-3.89
8.268026113510132,-0.29,-3.89
8.474966287612915,-0.2,-3.87
8.689454078674316,-0.26,-3.89
8.880203247070312,-0.25,-3.89
9.087361812591553,-0.23,-3.94
9.300634860992432,-0.16,-3.96
9.503071069717407,-0.17,-3.97
9.722553730010986,-0.18,-3.93
9.935860395431519,-0.15,-3.94
10.132567405700684,-0.15,-3.94
10.332614421844482,-0.18,-3.95
10.546572208404541,-0.2,-3.96
10.749385595321655,-0.25,-3.89
10.963661670684814,-0.23,-3.93
11.163978815078735,-0.21,-3.89
11.383392095565796,-0.19,-3.88
11.583754539489746,-0.19,-3.92
11.792842626571655,-0.22,-3.96
12.001850366592407,-0.2,-3.98
12.206406354904175,-0.17,-3.91
12.425126075744629,-0.18,-3.93
