,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
1.143859624862671,0.0,-1.33
1.3602795600891113,-0.05,-2.21
1.57566237449646,-0.09,-2.81
1.7774012088775635,0.02,-3.24
1.98305082321167,0.07,-3.49
2.200162172317505,0.07,-3.63
2.4034829139709473,-0.01,-3.73
2.6179158687591553,-0.09,-3.81
2.8277180194854736,-0.07,-3.92
3.031717538833618,-0.15,-3.93
3.2319650650024414,-0.13,-3.9
3.4433999061584473,-0.14,-3.95
3.652806282043457,-0.11,-3.86
3.8622472286224365,-0.22,-3.84
4.073866128921509,-0.22,-3.85
4.277835845947266,-0.17,-3.84
4.4861509799957275,-0.07,-3.83
4.695532560348511,-0.13,-3.88
4.9021806716918945,-0.12,-3.87
5.110260248184204,-0.23,-3.91
5.328717947006226,-0.22,-3.93
5.523297548294067,-0.07,-4.03
5.757043361663818,-0.04,-3.96
5.9464781284332275,0.01,-3.97
6.151283502578735,-0.09,-3.91
6.377897262573242,-0.1,-3.81
6.578917026519775,-0.04,-3.84
6.775473356246948,-0.13,-3.82
7.001319885253906,-0.15,-3.85
7.202539920806885,-0.15,-3.89
7.420543909072876,-0.14,-3.88
7.6074137687683105,-0.14,-3.86
7.8364481925964355,-0.14,-3.88
8.025080680847168,-0.17,-3.88
8.25439715385437,-0.15,-3.89
8.450048446655273,-0.13,-3.94
8.650935888290405,-0.09,-3.95
8.860145092010498,0.05,-4.0
9.080941677093506,0.14,-4.04
9.28638243675232,0.05,-4.09
9.485884428024292,0.05,-4.14
9.704797983169556,-0.03,-3.93
9.91269564628601,-0.3,-3.94
10.111645460128784,0.14,-3.87
10.321086645126343,-0.01,-3.87
10.526340246200562,-0.06,-3.9
10.735607862472534,-0.07,-3.96
10.943071603775024,-0.03,-3.97
