,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
1.025507926940918,-0.03,-1.23
1.2365221977233887,-0.09,-2.12
1.4402506351470947,-0.02,-2.77
1.649686574935913,-0.07,-3.09
1.8615717887878418,-0.11,-3.39
2.066581964492798,-0.12,-3.55
2.276625156402588,-0.16,-3.66
2.4801785945892334,-0.2,-3.75
2.694014310836792,-0.18,-3.8
2.897469997406006,-0.16,-3.83
3.112274646759033,-0.17,-3.89
3.31406307220459,-0.19,-3.88
3.5215859413146973,-0.21,-3.82
3.7317955493927,-0.22,-3.81
3.938884735107422,-0.25,-3.85
4.148981332778931,-0.52,-3.72
4.360634088516235,-0.71,-3.62
4.567008018493652,-0.59,-3.72
4.7727508544921875,-0.44,-3.78
4.982385873794556,-0.6,-3.76
5.191625356674194,-0.32,-3.84
5.3990256786346436,-0.21,-3.77
5.606769800186157,-0.18,-3.81
5.8197596073150635,-0.27,-3.84
6.028706789016724,-0.13,-3.85
6.229792356491089,-0.09,-3.92
6.440711736679077,-0.05,-3.8
6.645220994949341,-0.06,-3.83
6.857144832611084,-0.05,-3.86
7.0667126178741455,-0.07,-3.87
7.273019075393677,-0.13,-3.84
7.480193376541138,-0.13,-3.84
7.69161319732666,-0.11,-3.87
7.896489381790161,-0.18,-3.93
8.105702877044678,-0.16,-3.94
8.31325912475586,-0.32,-3.93
8.538896322250366,-0.23,-3.99
8.729391098022461,-0.19,-3.93
8.93882966041565,-0.2,-3.91
9.14730167388916,-0.24,-3.91
9.352706909179688,-0.32,-3.93
9.570545434951782,-0.24,-3.93
9.769591331481934,-0.14,-3.96
9.997134447097778,-0.11,-3.89
10.191763401031494,-0.11,-3.89
10.399643659591675,-0.16,-3.95
10.60444450378418,-0.2,-3.91
10.82077169418335,-0.18,-3.93
