,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
1.0188534259796143,0.87,-0.32
1.2321491241455078,1.46,-0.52
1.4310438632965088,1.83,-0.66
1.6346189975738525,2.15,-0.81
1.8542184829711914,2.38,-0.91
2.058567523956299,2.5,-0.85
2.2577593326568604,2.56,-0.88
2.46895170211792,2.58,-0.85
2.6663599014282227,2.59,-0.86
2.8661835193634033,2.61,-0.91
3.0690195560455322,2.63,-0.95
3.277935028076172,2.67,-0.96
3.483572244644165,2.66,-0.99
3.6873586177825928,2.65,-1.02
3.895887613296509,2.66,-0.98
4.09923243522644,2.66,-1.01
4.305318117141724,2.66,-0.98
4.510741472244263,2.66,-1.04
4.712624788284302,2.69,-1.0
4.920147180557251,2.7,-0.94
5.12391996383667,2.69,-0.95
5.329961061477661,2.62,-0.95
5.534089088439941,2.64,-0.94
5.750953674316406,2.61,-0.9
5.954798221588135,2.62,-0.91
6.155949592590332,2.65,-0.94
6.355301141738892,2.65,-0.98
6.56068229675293,2.62,-1.04
6.764901876449585,2.63,-1.02
6.973354816436768,2.61,-0.98
7.188194990158081,2.63,-0.97
7.393497467041016,2.63,-0.97
7.59732460975647,2.6,-1.0
7.7909462451934814,2.63,-1.01
7.99826979637146,3.0,-1.04
8.212433338165283,2.88,-0.92
8.413049459457397,4.4,1.5
8.611868381500244,0.84,3.69
8.81540846824646,0.08,2.25
9.030317068099976,-0.53,1.98
9.229909181594849,-1.95,-1.13
9.42976975440979,-1.8,-3.63
9.634223461151123,-1.31,-6.36
9.840123891830444,-0.85,-9.63
10.043357372283936,-0.48,-12.23
10.25888442993164,-0.68,-14.17
10.456258535385132,-0.56,-17.29
10.660666465759277,-0.66,-20.84
10.867085695266724,-0.78,-23.77
11.077468872070312,-1.09,-26.53
11.272726774215698,-1.01,-28.41
11.482172966003418,-1.47,-31.0
11.691994905471802,-1.66,-32.23
11.902411937713623,-1.98,-33.23
12.10535717010498,-1.77,-34.79
12.30308198928833,-1.47,-36.52
12.51285982131958,-1.4,-37.83
12.718671560287476,-1.57,-39.14
12.914520502090454,-1.55,-39.83
13.121091604232788,-1.63,-40.71
13.3246750831604,-1.61,-41.37
13.530309438705444,-1.76,-41.84
13.73521876335144,-1.83,-42.3
13.940370798110962,-1.8,-42.76
14.144035577774048,-1.7,-43.18
14.348163843154907,-1.67,-43.85
14.558459758758545,-1.76,-44.34
14.760447263717651,-1.83,-44.89
14.965101480484009,-1.88,-45.25
15.175048112869263,-1.89,-45.39
15.37550950050354,-1.93,-45.39
15.580917835235596,-1.8,-45.53
15.785833597183228,-1.98,-45.56
15.990135669708252,-1.88,-44.59
16.202913761138916,-1.81,-44.16
16.41104483604431,-1.7,-43.95
16.622041702270508,-1.73,-43.64
16.813891649246216,-1.88,-43.81
17.012989044189453,-3.47,-46.03
17.218708038330078,-5.35,-50.26
17.432429552078247,-4.88,-48.83
17.63607692718506,-4.07,-42.32
17.834842443466187,-3.23,-36.98
18.040544033050537,-2.16,-31.51
18.255753993988037,-1.7,-27.02
18.455023050308228,-1.26,-23.66
18.657875537872314,-1.05,-20.51
18.862100839614868,-0.82,-18.73
19.071542263031006,-0.79,-17.1
19.28259253501892,-0.64,-15.12
19.472087621688843,-0.68,-13.89
19.67805576324463,-0.36,-12.6
19.888994693756104,-0.25,-11.49
20.088189363479614,0.18,-10.2
20.293782472610474,0.53,-8.53
20.499996185302734,0.07,-5.68
20.707240343093872,-0.23,-5.47
