,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
2.2906415462493896,-0.09,-0.33
2.5009562969207764,-0.1,-0.51
2.7094674110412598,-0.14,-0.65
2.9207231998443604,-0.18,-0.71
3.122706174850464,-0.23,-0.77
3.3359792232513428,-0.24,-0.78
3.5446503162384033,-0.22,-0.86
3.750969171524048,-0.26,-0.91
3.958869695663452,-0.23,-0.89
4.169199228286743,-0.18,-0.85
4.376284837722778,-0.16,-0.86
4.585633277893066,-0.16,-0.84
4.794335842132568,-0.13,-0.87
5.002943277359009,-0.17,-0.91
5.211572647094727,-0.18,-0.91
5.418000221252441,-0.15,-0.95
5.628414869308472,-0.15,-0.88
5.834696292877197,-0.13,-0.9
6.042771339416504,-0.1,-0.87
6.25278902053833,-0.11,-0.88
6.461051940917969,-0.15,-0.9
6.670142412185669,-0.17,-0.93
6.877737760543823,1.94,-0.31
7.087858200073242,0.62,-0.72
7.293600082397461,-6.51,-0.83
7.501707077026367,-8.86,-1.13
7.7102415561676025,-11.79,-0.84
7.915593385696411,-13.98,-1.27
8.123687267303467,-15.26,-1.47
8.336696863174438,-16.28,-1.42
8.54520845413208,-16.7,-1.3
8.750610828399658,-18.05,-1.2
8.959465265274048,-19.22,-1.05
9.168840169906616,-20.25,-0.98
9.377710342407227,-20.84,-1.0
9.585329055786133,-20.6,-0.94
9.79465103149414,-21.31,-1.14
10.004834175109863,-22.12,-0.88
10.212592363357544,-23.4,-0.71
10.420118570327759,-24.37,-0.61
10.626606941223145,-26.14,-0.72
10.835772514343262,-28.57,-0.58
11.044203996658325,-30.6,-0.31
11.252758502960205,-31.55,-0.88
11.462825775146484,-32.48,-1.41
11.667520523071289,-33.64,-1.29
11.875677824020386,-34.54,-0.95
12.084697723388672,-35.17,-0.88
